,line,module,job_id,state,time
1248,A,1,1,fetching_job,2022-02-18T01:00:00
949,A,1,1,processing,2022-02-18T01:10:12
1044,A,1,1,storing_job,2022-02-18T02:11:15.245000
344,A,2,1,waiting_on_precedent,2022-02-18T01:00:00
1112,A,2,1,fetching_job,2022-02-18T02:21:27.245000
844,A,2,1,processing,2022-02-18T02:31:39.245000
990,A,2,1,storing_job,2022-02-18T03:21:18.967199
534,A,3,1,waiting_on_precedent,2022-02-18T01:00:00
179,A,3,1,fetching_job,2022-02-18T03:31:30.967200
1349,A,3,1,processing,2022-02-18T03:41:42.967200
750,A,1,2,fetching_job,2022-02-18T02:21:27.245000
1031,A,1,2,processing,2022-02-18T02:31:39.245000
320,A,1,2,storing_job,2022-02-18T02:57:10.465600
140,A,2,2,fetching_job,2022-02-18T03:31:30.967200
287,A,2,2,processing,2022-02-18T03:41:42.967200
546,A,2,2,storing_job,2022-02-18T04:15:52.560200
674,A,3,2,waiting_on_precedent,2022-02-18T04:14:02.268199
699,A,3,2,fetching_job,2022-02-18T04:26:04.560200
1069,A,3,2,processing,2022-02-18T04:36:16.560200
124,A,1,3,fetching_job,2022-02-18T03:07:22.465600
548,A,1,3,processing,2022-02-18T03:17:34.465600
405,A,1,3,storing_job,2022-02-18T03:36:19.444000
801,A,2,3,fetching_job,2022-02-18T04:26:04.560200
607,A,2,3,processing,2022-02-18T04:36:16.560200
1162,A,2,3,storing_job,2022-02-18T05:25:39.738600
717,A,3,3,waiting_on_precedent,2022-02-18T05:05:06.306400
131,A,3,3,fetching_job,2022-02-18T05:35:51.738600
1065,A,3,3,processing,2022-02-18T05:46:03.738600
683,A,1,4,fetching_job,2022-02-18T03:46:31.444000
219,A,1,4,processing,2022-02-18T03:56:43.444000
907,A,1,4,processing,2022-02-18T03:56:43.444000
965,A,1,4,storing_job,2022-02-18T04:30:47.522400
526,A,2,4,fetching_job,2022-02-18T05:35:51.738600
181,A,2,4,storing_job,2022-02-18T05:46:03.738600
625,A,2,4,processing,2022-02-18T05:46:03.738600
12,A,3,4,fetching_job,2022-02-18T06:22:36.711200
719,A,3,4,processing,2022-02-18T06:32:48.711200
1172,A,1,5,fetching_job,2022-02-18T04:40:59.522400
251,A,1,5,processing,2022-02-18T04:51:11.522400
491,A,1,5,storing_job,2022-02-18T05:33:54.732400
547,A,2,5,fetching_job,2022-02-18T05:56:15.738600
295,A,2,5,processing,2022-02-18T06:06:27.738600
871,A,2,5,storing_job,2022-02-18T06:52:15.847600
480,A,3,5,fetching_job,2022-02-18T07:11:56.092600
485,A,3,5,fetching_job,2022-02-18T07:11:56.092600
423,A,3,5,processing,2022-02-18T07:22:08.092600
1206,A,1,6,fetching_job,2022-02-18T05:44:06.732400
293,A,1,6,processing,2022-02-18T05:54:18.732400
733,A,1,6,storing_job,2022-02-18T06:24:27.521200
1027,A,1,6,storing_job,2022-02-18T06:24:27.521200
1373,A,2,6,fetching_job,2022-02-18T07:02:27.847600
1314,A,2,6,processing,2022-02-18T07:12:39.847600
981,A,2,6,storing_job,2022-02-18T07:53:55.903000
894,A,3,6,waiting_on_precedent,2022-02-18T07:47:55.857000
167,A,3,6,fetching_job,2022-02-18T08:04:07.903000
516,A,3,6,processing,2022-02-18T08:14:19.903000
367,A,1,7,fetching_job,2022-02-18T06:34:39.521200
391,A,1,7,processing,2022-02-18T06:44:51.521200
1072,A,1,7,processing,2022-02-18T06:44:51.521200
583,A,1,7,storing_job,2022-02-18T07:06:58.701600
747,A,2,7,fetching_job,2022-02-18T08:04:07.903000
536,A,2,7,processing,2022-02-18T08:14:19.903000
1315,A,3,7,waiting_on_precedent,2022-02-18T08:14:19.903000
1089,A,2,7,storing_job,2022-02-18T09:09:50.721400
1129,A,2,7,storing_job,2022-02-18T09:09:50.721400
1002,A,3,7,fetching_job,2022-02-18T09:20:02.721400
728,A,3,7,processing,2022-02-18T09:30:14.721400
902,A,1,8,fetching_job,2022-02-18T07:17:10.701600
737,A,1,8,processing,2022-02-18T07:27:22.701600
507,A,1,8,storing_job,2022-02-18T08:02:40.308000
210,A,2,8,fetching_job,2022-02-18T09:20:02.721400
1108,A,2,8,processing,2022-02-18T09:30:14.721400
577,A,2,8,storing_job,2022-02-18T10:05:43.357000
1050,A,2,8,storing_job,2022-02-18T10:05:43.357000
523,A,3,8,waiting_on_precedent,2022-02-18T09:58:09.321600
875,A,3,8,fetching_job,2022-02-18T10:15:55.357000
406,A,3,8,processing,2022-02-18T10:26:07.357000
838,A,1,9,fetching_job,2022-02-18T08:12:52.308000
1161,A,1,9,processing,2022-02-18T08:23:04.308000
711,A,1,9,storing_job,2022-02-18T09:01:56.983800
532,A,2,9,fetching_job,2022-02-18T10:15:55.357000
1033,A,2,9,processing,2022-02-18T10:26:07.357000
1150,A,2,9,storing_job,2022-02-18T11:14:37.227600
657,A,3,9,waiting_on_precedent,2022-02-18T10:58:15.628800
273,A,3,9,fetching_job,2022-02-18T11:24:49.227600
71,A,3,9,processing,2022-02-18T11:35:01.227600
451,A,1,10,fetching_job,2022-02-18T09:12:08.983800
1229,A,1,10,processing,2022-02-18T09:22:20.983800
1344,A,1,10,storing_job,2022-02-18T09:49:46.172800
1277,A,2,10,fetching_job,2022-02-18T11:24:49.227600
671,A,2,10,storing_job,2022-02-18T11:35:01.227600
1287,A,2,10,processing,2022-02-18T11:35:01.227600
229,A,3,10,fetching_job,2022-02-18T11:54:43.190200
239,A,3,10,fetching_job,2022-02-18T11:54:43.190200
166,A,3,10,processing,2022-02-18T12:04:55.190200
1204,A,1,11,fetching_job,2022-02-18T09:59:58.172800
180,A,1,11,processing,2022-02-18T10:10:10.172800
828,A,1,11,waiting_on_next,2022-02-18T10:10:10.172800
1008,A,1,11,storing_job,2022-02-18T10:26:07.357000
158,A,2,11,fetching_job,2022-02-18T11:45:13.227600
1222,A,2,11,processing,2022-02-18T11:55:25.227600
61,A,2,11,storing_job,2022-02-18T12:56:28.760200
156,A,3,11,waiting_on_precedent,2022-02-18T13:02:54.902800
1221,A,3,11,fetching_job,2022-02-18T13:06:40.760200
989,A,3,11,processing,2022-02-18T13:16:52.760200
162,A,1,12,fetching_job,2022-02-18T10:36:19.357000
939,A,1,12,processing,2022-02-18T10:46:31.357000
1252,A,1,12,waiting_on_next,2022-02-18T10:57:25.577000
983,A,1,12,storing_job,2022-02-18T11:35:01.227600
1366,A,1,12,storing_job,2022-02-18T11:35:01.227600
628,A,2,12,fetching_job,2022-02-18T13:06:40.760200
174,A,2,12,processing,2022-02-18T13:16:52.760200
1338,A,2,12,processing,2022-02-18T13:16:52.760200
1245,A,3,12,waiting_on_precedent,2022-02-18T13:51:18.897000
51,A,2,12,storing_job,2022-02-18T14:07:49.686800
29,A,3,12,fetching_job,2022-02-18T14:18:01.686800
149,A,3,12,processing,2022-02-18T14:28:13.686800
411,A,3,12,processing,2022-02-18T14:28:13.686800
1257,A,1,13,fetching_job,2022-02-18T11:45:13.227600
678,A,1,13,processing,2022-02-18T11:55:25.227600
1023,A,1,13,processing,2022-02-18T11:55:25.227600
1146,A,1,13,storing_job,2022-02-18T12:12:47.487000
222,A,2,13,fetching_job,2022-02-18T14:18:01.686800
1060,A,2,13,processing,2022-02-18T14:28:13.686800
947,A,2,13,storing_job,2022-02-18T14:57:05.271200
250,A,3,13,waiting_on_precedent,2022-02-18T15:00:20.120400
333,A,3,13,fetching_job,2022-02-18T15:07:17.271200
141,A,3,13,processing,2022-02-18T15:17:29.271200
298,A,1,14,fetching_job,2022-02-18T12:22:59.487000
997,A,1,14,processing,2022-02-18T12:33:11.487000
381,A,1,14,waiting_on_next,2022-02-18T13:01:57.556800
792,A,1,14,storing_job,2022-02-18T13:16:52.760200
1194,A,2,14,fetching_job,2022-02-18T15:07:17.271200
238,A,2,14,processing,2022-02-18T15:17:29.271200
430,A,2,14,storing_job,2022-02-18T16:06:04.656400
1190,A,3,14,waiting_on_precedent,2022-02-18T15:41:57.993000
486,A,3,14,fetching_job,2022-02-18T16:16:16.656400
120,A,3,14,processing,2022-02-18T16:26:28.656400
187,A,1,15,fetching_job,2022-02-18T13:27:04.760200
19,A,1,15,processing,2022-02-18T13:37:16.760200
752,A,1,15,storing_job,2022-02-18T14:36:39.980200
1236,A,2,15,fetching_job,2022-02-18T16:16:16.656400
1151,A,2,15,processing,2022-02-18T16:26:28.656400
1385,A,2,15,storing_job,2022-02-18T17:15:15.070800
1024,A,3,15,waiting_on_precedent,2022-02-18T17:09:46.033000
1262,A,3,15,fetching_job,2022-02-18T17:25:27.070800
876,A,3,15,processing,2022-02-18T17:35:39.070800
438,A,1,16,fetching_job,2022-02-18T14:46:51.980200
513,A,1,16,processing,2022-02-18T14:57:03.980200
724,A,1,16,storing_job,2022-02-18T15:33:00.188800
1345,A,1,16,storing_job,2022-02-18T15:33:00.188800
39,A,2,16,fetching_job,2022-02-18T17:25:27.070800
677,A,2,16,processing,2022-02-18T17:35:39.070800
121,A,2,16,storing_job,2022-02-18T18:27:10.923200
80,A,3,16,waiting_on_precedent,2022-02-18T18:07:54.695400
104,A,3,16,fetching_job,2022-02-18T18:37:22.923200
276,A,3,16,processing,2022-02-18T18:47:34.923200
351,A,3,16,processing,2022-02-18T18:47:34.923200
82,A,1,17,fetching_job,2022-02-18T15:43:12.188800
692,A,1,17,waiting_on_next,2022-02-18T15:53:24.188800
858,A,1,17,processing,2022-02-18T15:53:24.188800
407,A,1,17,storing_job,2022-02-18T16:26:28.656400
972,A,2,17,fetching_job,2022-02-18T18:37:22.923200
301,A,2,17,processing,2022-02-18T18:47:34.923200
25,A,2,17,storing_job,2022-02-18T19:31:08.843600
476,A,2,17,storing_job,2022-02-18T19:31:08.843600
755,A,3,17,waiting_on_precedent,2022-02-18T19:16:44.889600
886,A,3,17,waiting_on_precedent,2022-02-18T19:16:44.889600
834,A,3,17,fetching_job,2022-02-18T19:41:20.843600
946,A,3,17,processing,2022-02-18T19:51:32.843600
1015,A,1,18,fetching_job,2022-02-18T16:36:40.656400
1086,A,1,18,processing,2022-02-18T16:46:52.656400
1032,A,1,18,waiting_on_next,2022-02-18T17:26:11.067000
291,A,1,18,storing_job,2022-02-18T17:35:39.070800
479,A,2,18,fetching_job,2022-02-18T19:41:20.843600
1216,A,2,18,processing,2022-02-18T19:51:32.843600
1047,A,2,18,storing_job,2022-02-18T20:27:49.272400
447,A,3,18,waiting_on_precedent,2022-02-18T20:20:48.324600
910,A,3,18,fetching_job,2022-02-18T20:38:01.272400
1046,A,3,18,fetching_job,2022-02-18T20:38:01.272400
1275,A,3,18,processing,2022-02-18T20:48:13.272400
433,A,1,19,fetching_job,2022-02-18T17:45:51.070800
552,A,1,19,processing,2022-02-18T17:56:03.070800
564,A,1,19,processing,2022-02-18T17:56:03.070800
358,A,1,19,waiting_on_next,2022-02-18T18:20:06.057800
794,A,1,19,storing_job,2022-02-18T18:47:34.923200
551,A,2,19,fetching_job,2022-02-18T20:38:01.272400
1297,A,2,19,processing,2022-02-18T20:48:13.272400
603,A,2,19,storing_job,2022-02-18T21:34:08.734200
1120,A,2,19,storing_job,2022-02-18T21:34:08.734200
1080,A,3,19,waiting_on_precedent,2022-02-18T21:26:16.316800
503,A,3,19,fetching_job,2022-02-18T21:44:20.734200
729,A,3,19,processing,2022-02-18T21:54:32.734200
1367,A,1,20,fetching_job,2022-02-18T18:57:46.923200
684,A,1,20,processing,2022-02-18T19:07:58.923200
1026,A,1,20,waiting_on_next,2022-02-18T19:36:11.905400
696,A,1,20,storing_job,2022-02-18T19:51:32.843600
1263,A,1,20,storing_job,2022-02-18T19:51:32.843600
1170,A,2,20,fetching_job,2022-02-18T21:44:20.734200
1052,A,2,20,processing,2022-02-18T21:54:32.734200
1350,A,2,20,storing_job,2022-02-18T22:36:36.582800
454,A,3,20,waiting_on_precedent,2022-02-18T21:54:32.734200
1241,A,3,20,fetching_job,2022-02-18T22:46:48.582800
216,A,3,20,processing,2022-02-18T22:57:00.582800
1156,A,1,21,fetching_job,2022-02-18T20:01:44.843600
116,A,1,21,processing,2022-02-18T20:11:56.843600
224,A,1,21,processing,2022-02-18T20:11:56.843600
1055,A,1,21,waiting_on_next,2022-02-18T20:44:10.630000
336,A,1,21,storing_job,2022-02-18T20:48:13.272400
929,A,1,21,idle,2022-02-18T20:58:25.272400
40,A,2,21,fetching_job,2022-02-18T22:46:48.582800
410,A,2,21,processing,2022-02-18T22:57:00.582800
1122,A,2,21,storing_job,2022-02-18T23:32:01.645400
1307,A,2,21,idle,2022-02-18T23:42:13.645400
906,A,3,21,waiting_on_precedent,2022-02-18T23:28:48.634400
33,A,3,21,fetching_job,2022-02-18T23:42:13.645400
45,A,3,21,processing,2022-02-18T23:52:25.645400
465,A,3,21,idle,2022-02-19T00:31:47.732400
689,A,3,21,idle,2022-02-19T00:31:47.732400